PWSID,PWS_Name,Counties Served,Primacy_agency,Suspect LPA?,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes last updated,Weird case?,,,,,,,,,,,,,,
CA3600139,JUBILEE MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2701898,CLEAR RIDGE WA,Monterey,SWRCB,Monterey-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2701918,LOMAS DEL SOL MWS,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2701929,COUNTRY MEADOWS MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2701935,MOUNT TORO RANCHOS MWA,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2701956,PIONEER PLACE MWS,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2701959,TIERRA VISTA MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702003,VIERRA MEADOWS MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702055,VIERRA KNOLLS MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702135,FOOTHILL WA,Monterey,SWRCB,Monterey-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702148,ASOLEADO MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600200,RANCHERITOS MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702374,COUNTRYSIDE ESTATES MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702439,WOODLAND HEIGHTS MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702466,SAN VICENTE MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702520,ARROYO SECO ESTATES MWS,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702554,HIDDEN CANYON RANCH MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2702608,THIMIO MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2800516,TUCKER ACRES MUTUAL WATER CO.,Napa,SWRCB,Napa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2800525,LA TIERRA HEIGHTS MUTUAL,Napa,SWRCB,Napa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2800527,LINDA FALLS TERRACE MUTUAL,Napa,SWRCB,Napa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2800528,LINDA VISTA MUTUAL WATER CO,Napa,SWRCB,Napa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2800532,VAILIMA ESTATES MUTUAL WATER,Napa,SWRCB,Napa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2801080,MILTON ROAD WATER COMPANY,Napa,SWRCB,Napa-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2900511,SHADY LAKE WATER ASSOCIATION,Nevada,SWRCB,Nevada-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA2900548,SIERRA ESTATES MUTUAL WATER COMPANY,Nevada,SWRCB,Nevada-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3100041,ALPINE MEADOWS PROPERTY OWNERS ASSO,Placer,SWRCB,Placer-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3100058,DUTCH FLAT MUTUAL,Placer,SWRCB,Placer-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3100528,GOLDEN HILLS MUTUAL WATER CO,Placer,SWRCB,Placer-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3100538,ROSECREST MUTUAL,Placer,SWRCB,Placer-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3103310,EMIGRANT GAP MUTUAL WATER CO.,Placer,SWRCB,Placer-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3103835,LAKEVIEW HILLS COMMUNITY ASSOC,Placer,SWRCB,Placer-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3103836,HIDDEN VALLEY COMMUNITY ASSOCIATION,Placer,SWRCB,Placer-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3107339,FOLSOM LAKE MUTUAL WATER CO,Placer,SWRCB,Placer-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3200102,WHITEHAWK RANCH MWC,Plumas,SWRCB,Plumas-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3200134,BLAIRSDEN WATER USERS ASSN,Plumas,SWRCB,Plumas-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3200195,GREENHAVEN HOA,Plumas,SWRCB,Plumas-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3400138,LOCKE WATER WORKS CO [SWS],Sacramento,SWRCB,Sacramento-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3400155,SEQUOIA WATER ASSOC,Sacramento,SWRCB,Sacramento-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3400172,TOKAY PARK WATER CO,Sacramento,SWRCB,Sacramento-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600012,APPLE VALLEY VIEW MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600025,BAR-LEN MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610002,ALPINE WATER USERS ASSOCIATION,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600027,"BAR ""H"" MWC",San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610011,CEDARPINES PARK MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610016,GLEN MARTIN MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600064,CAMP WATERMAN MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610021,FALLSVALE SERVICE COMPANY,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610023,GREEN VALLEY MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610028,MARYGOLD MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610031,MUSCOY MWC NO. 1,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600070,CENTER WATER CO,San Bernardino,SWRCB,San Bernardino-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610046,VALLEY VIEW PARK MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610048,TERRACE WATER COMPANY,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610051,VALLEY OF ENCHANTMENT MWC,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610053,WESTERN HEIGHTS WATER COMPANY,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610057,RIVERSIDE HIGHLAND WATER COMPANY,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600071,CHAMISAL MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600088,DESERT DAWN MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610085,SAN ANTONIO WATER COMPANY,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600089,DESERT SPRINGS MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610109,SHEEP CREEK WATER COMPANY,San Bernardino,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610117,DEVORE WC,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600094,DOGWOOD BLUE JAY CYN IMP,San Bernardino,SWRCB,San Bernardino-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600107,FOREST PARK MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600123,HI DESERT MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700073,H & J WATER COMPANY,San Diego,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700277,SUNRISE ESTATES MUTUAL WATER COMPANY,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700422,LAGUNA MOUNTIAN MUTUAL WATER CO.,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700866,DEL DIOS MUTUAL WATER COMPANY,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700897,GUATAY MUTUAL BENEFIT CORPORATION,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700905,PINE HILLS MUTUAL WATER COMPANY,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700918,RANCHO SANTA TERESA MW CO.,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700923,LAKE MORENA OAK SHORES MWC,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700924,LAKE MORENA VIEWS MWC,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700933,PALOMAR MOUNTAIN MUTUAL WATER CO.,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700934,PAUMA VALLEY WATER COMPANY,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700937,LAZY H MUTUAL WATER COMPANY,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3700958,LOS TULES MUTUAL WATER COMPANY,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3701747,NORTH PEAK MUTUAL WATER COMPANY,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3701995,WILLOWSIDE TERRACE WATER ASSOCIATION,San Diego,SWRCB,,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3710012,RANCHO PAUMA MUTUAL WC,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3710039,PINE VALLEY MUTUAL WC,San Diego,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600156,LUCERNE VALLEY MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600157,LUCERNE VISTA MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600166,MILL CREEK MSC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600180,NAVAJO MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600184,NORTH SHORE MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600185,OAK GLEN DOMESTIC WATER,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600209,ROCKY COMFORT MUTUAL WATER CO,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600258,SKY FOREST MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600260,SMILEY PARK COUNTRY CLUB,San Bernardino,SWRCB,San Bernardino-LPA,Private,Kristin,Ancillary,Non-profit corporation,,Not registered with IRS as mutual but registered with SOS as mutual benefit org and here looks like HOA https://www.smileyparkcc.com/ ,,,,,,,,,,,,,,,,
CA3600297,GORDON ACRES WATER CO,San Bernardino,SWRCB,San Bernardino-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600301,STRAWBERRY LODGE MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600345,WEST END MWC,San Bernardino,SWRCB,San Bernardino-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3600785,LAKE JODIE WATER SYSTEM,San Bernardino,SWRCB,San Bernardino-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3601010,CRYSTAL LAKE PROPERTY OWNERS,San Bernardino,SWRCB,San Bernardino-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3601036,CALICO LAKE HOMEOWNERS,San Bernardino,SWRCB,San Bernardino-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610033,MT BALDY HOMEOWNERS ASSN.,San Bernardino,SWRCB,FALSE,PA,Original,PA,Non-profit corporation,,"110 SC but 350 residents, and 1000 transient population (maybe Mt Baldy resort is a customer)",3/2/2023,,,,,,,,,,,,,,,
CA3610082,SAN ANTONIO CANYON MSC,San Bernardino,SWRCB,FALSE,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3610086,WEST END CONSOLIDATED WATER COMPANY,San Bernardino,SWRCB,FALSE,City,Original,MWC,Non-profit corporation,,"City of upland is the majority owner but still is a mutual water company, that is a wholesaler to 78,891 people.",3/2/2023,Yes,,,,,,,,,,,,,,
CA3900505,FARMINGTON WATER COMPANY,San Joaquin,SWRCB,San Joaquin-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3900733,COUNTRY CLUB VISTA MUTUAL WATER CO,San Joaquin,SWRCB,San Joaquin-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000200,BASSI RANCH MUTUAL WATER CO.,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000203,IRISH HILLS MUTUAL WATER CO,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000214,BARON CANYON MUTUAL WATER CO.,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000230,CANYON CREST MUTUAL BENEFIT WC,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000506,WOODLAND PARK MUTUAL WATER CO,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000523,S & T MUTUAL WATER COMPANY,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000554,GREEN RIVER MUTUAL WATER CO.,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000631,ALMIRA WATER ASSOCIATION,San Luis Obispo,SWRCB,San Luis Obispo-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000637,COUNTRY HILLS ESTATES,San Luis Obispo,SWRCB,San Luis Obispo-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000670,WALNUT HILLS MUTUAL WATER CO,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000705,LAGUNA NEGRA MUTUAL WATER CO.,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000716,AVILA VALLEY MUTUAL WATER CO,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000750,RIM ROCK WATER COMPANY,San Luis Obispo,SWRCB,San Luis Obispo-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000765,VARIAN RANCH MUTUAL WATER,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000775,MUSTANG SPRINGS MUTUAL WATER,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000789,SPANISH LAKES MUTUAL WATER CO,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000802,SANTA YSABEL RANCH MWC,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000803,RANCHO SALINAS MBWC,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000805,CALLENDER GROVE MUTUAL WATER,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000808,MONTE SERENO MUTUAL BENEFIT WATER,San Luis Obispo,SWRCB,San Luis Obispo-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000815,LAS VENTANAS RANCH,San Luis Obispo,SWRCB,San Luis Obispo-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4000834,ANZA VINEYARD ESTATES MUTUAL WATER CO,San Luis Obispo,SWRCB,San Luis Obispo-LPA,,New system ,Mutual water company,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200531,RANCHO MARCELINO WATER,Santa Barbara,SWRCB,Santa Barbara-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200556,FOSTER ROAD MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200572,LAS POSITAS MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200578,PAINTED CAVE,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200579,ROSARIO PARK,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200580,SAN MARCOS MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200612,MEADOWLARK RANCHES MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200619,SANTA YNEZ RANCHO ESTATES,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200633,LINGATE MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200678,SANTA ANITA MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200684,LINCOLNWOOD MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200693,ELLWOOD MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200702,VIEJA MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200703,EL CAPITAN MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200714,SAN AUGUSTINE MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200731,ALEGRIA DOMESTIC MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200733,MONTECITO SEA MEADOWS,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200800,EAST VALLEY FARMS MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200802,OAK TRAIL RANCH,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200804,WALKING M RANCHES,Santa Barbara,SWRCB,Santa Barbara-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200807,WOODSTOCK RANCH,Santa Barbara,SWRCB,Santa Barbara-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200814,JONATA HOMEOWNERS ASSOCIATION,Santa Barbara,SWRCB,Santa Barbara-LPA,,New system ,,Non-profit corporation,,Originally thougth this was really the bobcat springs mutual water company which is the water provider listed on their website but realized that is already in our list so has to be different. Justin figured out this is an HOA not MWC not sure why they created a new system though ,2/15/2023,,,,,,,,,,,,,,,
CA4200822,SANTA RITA WATER,Santa Barbara,SWRCB,Santa Barbara-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200837,RANCHO YNECITA,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200848,VISTA HILLS MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200851,ROLLING HILLS MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,PA,Original,PA,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200862,MESA HILLS MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200881,OAK TRAIL ESTATES,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200885,CHALK HILL ESTATES HOA,Santa Barbara,SWRCB,Santa Barbara-LPA,,New system ,Homeowners association,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA3910022,LITTLE POTATO SLOUGH MUTUAL,San Joaquin,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4200891,BOBCAT SPRINGS MUTUAL WATER COMPANY,Santa Barbara,SWRCB,Santa Barbara-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,Santa Cruz,SWRCB,Santa Cruz-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4400526,BIG REDWOOD PARK WATER,Santa Cruz,SWRCB,Santa Cruz-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4400558,SAN ANDREAS MUTUAL WATER CO,Santa Cruz,SWRCB,Santa Cruz-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4400559,SUMMIT MUTUAL WATER COMPANY,Santa Cruz,SWRCB,Santa Cruz-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
CA4400582,PINE TREE LANE MUTUAL WATER CO,Santa Cruz,SWRCB,Santa Cruz-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,
